@relation all.2024-04-14_12_53_26.802371


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute NUM0 NUMERIC
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute TERM0 {t, v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {t, v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute TERM2 {t, v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute VEREDICT {TRUE, FALSE}

@data
ForAll,6480625,<=,t,And,t,<=,14988211,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,122.288051,TRUE
ForAll,1506619,<=,t,And,t,<=,14064489,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,125.477957,TRUE
ForAll,6423709,<=,t,And,t,<=,24567105,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,134.850553,TRUE
ForAll,6577806,<=,t,And,t,<=,12778499,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,131.515276,TRUE
ForAll,3060617,<=,t,And,t,<=,22104609,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,134.478468,TRUE
ForAll,5367988,<=,t,And,t,<=,13664601,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,137.600428,TRUE
ForAll,7026577,<=,t,And,t,<=,19537745,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,130.474308,TRUE
ForAll,4270223,<=,t,And,t,<=,18033317,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,134.093392,TRUE
ForAll,8466239,<=,t,And,t,<=,14716946,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,125.142918,TRUE
ForAll,6662751,<=,t,And,t,<=,10092126,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,103.358290,TRUE
