0
	err	1029,18317303955
0,01
	err	1029,18317303955
0,02
	err	1029,18317303955
0,03
	err	1029,18317303955
0,04
	err	1029,18317303955
0,05
	err	1029,18317303955
0,06
	err	1029,18317303955
0,07
	err	1029,18317303955
0,08
	err	1029,18317303955
0,09
	err	1029,18317303955
0,1
	err	1029,18317303955
0,11
	err	1029,18317303955
0,12
	err	1029,18317303955
0,13
	err	1029,18317303955
0,14
	err	1029,18317303955
0,15
	err	1029,18317303955
0,16
	err	1029,18317303955
0,17
	err	1029,18317303955
0,18
	err	1029,18317303955
0,19
	err	1029,18317303955
0,2
	err	1029,18317303955
0,21
	err	1029,18317303955
0,22
	err	1029,18317303955
0,23
	err	1029,18317303955
0,24
	err	1029,18317303955
0,25
	err	1029,18317303955
0,26
	err	1029,18317303955
0,27
	err	1029,18317303955
0,28
	err	1029,18317303955
0,29
	err	1029,18317303955
0,3
	err	1029,18317303955
0,31
	err	1029,18317303955
0,32
	err	1029,18317303955
0,33
	err	1029,18317303955
0,34
	err	1029,18317303955
0,35
	err	1029,18317303955
0,36
	err	1029,18317303955
0,37
	err	1029,18317303955
0,38
	err	1029,18317303955
0,39
	err	1029,18317303955
0,4
	err	1029,18317303955
0,41
	err	1029,18317303955
0,42
	err	1029,18317303955
0,43
	err	1029,18317303955
0,44
	err	1029,18317303955
0,45
	err	1029,18317303955
0,46
	err	1029,18317303955
0,47
	err	1029,18317303955
0,48
	err	1029,18317303955
0,49
	err	1029,18317303955
0,5
	err	1029,18317303955
0,51
	err	1029,18317303955
0,52
	err	1029,18317303955
0,53
	err	1029,18317303955
0,54
	err	1029,18317303955
0,55
	err	1029,18317303955
0,56
	err	1029,18317303955
0,57
	err	1029,18317303955
0,58
	err	1029,18317303955
0,59
	err	1029,18317303955
0,6
	err	1029,18317303955
0,61
	err	1029,18317303955
0,62
	err	1029,18317303955
0,63
	err	1029,18317303955
0,64
	err	1029,18317303955
0,65
	err	1029,18317303955
0,66
	err	1029,18317303955
0,67
	err	1029,18317303955
0,68
	err	1029,18317303955
0,69
	err	1029,18317303955
0,7
	err	1029,18317303955
0,71
	err	1029,18317303955
0,72
	err	1029,18317303955
0,73
	err	1029,18317303955
0,74
	err	1029,18317303955
0,75
	err	1029,18317303955
0,76
	err	1029,18317303955
0,77
	err	1029,18317303955
0,78
	err	1029,18317303955
0,79
	err	1029,18317303955
0,8
	err	1029,18317303955
0,81
	err	1029,18317303955
0,82
	err	1029,18317303955
0,83
	err	1029,18317303955
0,84
	err	1029,18317303955
0,85
	err	1029,18317303955
0,86
	err	1029,18317303955
0,87
	err	1029,18317303955
0,88
	err	1029,18317303955
0,89
	err	1029,18317303955
0,9
	err	1029,18317303955
0,91
	err	1029,18317303955
0,92
	err	1029,18317303955
0,93
	err	1029,18317303955
0,94
	err	1029,18317303955
0,95
	err	1029,18317303955
0,96
	err	1029,18317303955
0,97
	err	1029,18317303955
0,98
	err	1029,18317303955
0,99
	err	1029,18317303955
1
	err	1029,18317303955
1,01
	err	1029,18317303955
1,02
	err	1029,18317303955
1,03
	err	1029,18317303955
1,04
	err	1029,18317303955
1,05
	err	1029,18317303955
1,06
	err	1029,18317303955
1,07
	err	1029,18317303955
1,08
	err	1029,18317303955
1,09
	err	1029,18317303955
1,1
	err	1029,18317303955
1,11
	err	1029,18317303955
1,12
	err	1029,18317303955
1,13
	err	1029,18317303955
1,14
	err	1029,18317303955
1,15
	err	1029,18317303955
1,16
	err	1029,18317303955
1,17
	err	1029,18317303955
1,18
	err	1029,18317303955
1,19
	err	1029,18317303955
1,2
	err	1029,18317303955
1,21
	err	1029,18317303955
1,22
	err	1029,18317303955
1,23
	err	1029,18317303955
1,24
	err	1029,18317303955
1,25
	err	1029,18317303955
1,26
	err	1029,18317303955
1,27
	err	1029,18317303955
1,28
	err	1029,18317303955
1,29
	err	1029,18317303955
1,3
	err	1029,18317303955
1,31
	err	1029,18317303955
1,32
	err	1029,18317303955
1,33
	err	1029,18317303955
1,34
	err	1029,18317303955
1,35
	err	1029,18317303955
1,36
	err	1029,18317303955
1,37
	err	1029,18317303955
1,38
	err	1029,18317303955
1,39
	err	1029,18317303955
1,4
	err	1029,18317303955
1,41
	err	1029,18317303955
1,42
	err	1029,18317303955
1,43
	err	1029,18317303955
1,44
	err	1029,18317303955
1,45
	err	1029,18317303955
1,46
	err	1029,18317303955
1,47
	err	1029,18317303955
1,48
	err	1029,18317303955
1,49
	err	1029,18317303955
1,5
	err	1029,18317303955
1,51
	err	1029,18317303955
1,52
	err	1029,18317303955
1,53
	err	1029,18317303955
1,54
	err	1029,18317303955
1,55
	err	1029,18317303955
1,56
	err	1029,18317303955
1,57
	err	1029,18317303955
1,58
	err	1029,18317303955
1,59
	err	1029,18317303955
1,6
	err	1029,18317303955
1,61
	err	1029,18317303955
1,62
	err	1029,18317303955
1,63
	err	1029,18317303955
1,64
	err	1029,18317303955
1,65
	err	1029,18317303955
1,66
	err	1029,18317303955
1,67
	err	1029,18317303955
1,68
	err	1029,18317303955
1,69
	err	1029,18317303955
1,7
	err	1029,18317303955
1,71
	err	1029,18317303955
1,72
	err	1029,18317303955
1,73
	err	1029,18317303955
1,74
	err	1029,18317303955
1,75
	err	1029,18317303955
1,76
	err	1029,18317303955
1,77
	err	1029,18317303955
1,78
	err	1029,18317303955
1,79
	err	1029,18317303955
1,8
	err	1029,18317303955
1,81
	err	1029,18317303955
1,82
	err	1029,18317303955
1,83
	err	1029,18317303955
1,84
	err	1029,18317303955
1,85
	err	1029,18317303955
1,86
	err	1029,18317303955
1,87
	err	1029,18317303955
1,88
	err	1029,18317303955
1,89
	err	1029,18317303955
1,9
	err	1029,18317303955
1,91
	err	1029,18317303955
1,92
	err	1029,18317303955
1,93
	err	1029,18317303955
1,94
	err	1029,18317303955
1,95
	err	1029,18317303955
1,96
	err	1029,18317303955
1,97
	err	1029,18317303955
1,98
	err	1029,18317303955
1,99
	err	1029,18317303955
2
	err	1029,18317303955
2,01
	err	1029,18317303955
2,02
	err	1029,18317303955
2,03
	err	1029,18317303955
2,04
	err	1029,18317303955
2,05
	err	1029,18317303955
2,06
	err	1029,18317303955
2,07
	err	1029,18317303955
2,08
	err	1029,18317303955
2,09
	err	1029,18317303955
2,1
	err	1029,18317303955
2,11
	err	1029,18317303955
2,12
	err	1029,18317303955
2,13
	err	1029,18317303955
2,14
	err	1029,18317303955
2,15
	err	1029,18317303955
2,16
	err	1029,18317303955
2,17
	err	1029,18317303955
2,18
	err	1029,18317303955
2,19
	err	1029,18317303955
2,2
	err	1029,18317303955
2,21
	err	1029,18317303955
2,22
	err	1029,18317303955
2,23
	err	1029,18317303955
2,24
	err	1029,18317303955
2,25
	err	1029,18317303955
2,26
	err	1029,18317303955
2,27
	err	1029,18317303955
2,28
	err	1029,18317303955
2,29
	err	1029,18317303955
2,3
	err	1029,18317303955
2,31
	err	1029,18317303955
2,32
	err	1029,18317303955
2,33
	err	1029,18317303955
2,34
	err	1029,18317303955
2,35
	err	1029,18317303955
2,36
	err	1029,18317303955
2,37
	err	1029,18317303955
2,38
	err	1029,18317303955
2,39
	err	1029,18317303955
2,4
	err	1029,18317303955
2,41
	err	1029,18317303955
2,42
	err	1029,18317303955
2,43
	err	1029,18317303955
2,44
	err	1029,18317303955
2,45
	err	1029,18317303955
2,46
	err	1029,18317303955
2,47
	err	1029,18317303955
2,48
	err	1029,18317303955
2,49
	err	1029,18317303955
2,5
	err	1029,18317303955
2,51
	err	1029,18317303955
2,52
	err	1029,18317303955
2,53
	err	1029,18317303955
2,54
	err	1029,18317303955
2,55
