@relation all.2024-05-19_15_30_57.893964


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute NUM0 NUMERIC
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute TERM0 {t2, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1}
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {t2, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute TERM2 {t2, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute IMP0 {Implies}
@attribute QUANTIFIERS1 {ForAll, Exists}
@attribute NUM3 NUMERIC
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute TERM3 {t2, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1}
@attribute LOGICALS1 {And, Or}
@attribute TERM4 {t2, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1}
@attribute RELATIONALS4 {<, >, <=, >=}
@attribute NUM4 NUMERIC
@attribute TERM5 {t2, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1}
@attribute RELATIONALS5 {<, >, <=, >=}
@attribute NUM5 NUMERIC
@attribute VEREDICT {TRUE, FALSE, UNKNOWN}

@data
ForAll,0,<=,t1,And,t1,<=,28267391,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2842.842141,Implies,ForAll,0,<=,t2,And,t2,<=,2447565,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,33.522032,TRUE
ForAll,0,<=,t1,And,t1,<=,25564294,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2996.080426,Implies,ForAll,0,<=,t2,And,t2,<=,5319083,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.209264,TRUE
ForAll,0,<=,t1,And,t1,<=,24933359,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3103.393559,Implies,ForAll,0,<=,t2,And,t2,<=,2559526,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.053640,TRUE
ForAll,0,<=,t1,And,t1,<=,29948535,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2807.173559,Implies,ForAll,0,<=,t2,And,t2,<=,5309910,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,39.820994,TRUE
ForAll,0,<=,t1,And,t1,<=,38013774,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2900.309384,Implies,ForAll,0,<=,t2,And,t2,<=,2717877,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,31.648675,TRUE
ForAll,0,<=,t1,And,t1,<=,33460226,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3125.782566,Implies,ForAll,0,<=,t2,And,t2,<=,2078745,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.427945,TRUE
ForAll,0,<=,t1,And,t1,<=,26107963,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2855.283827,Implies,ForAll,0,<=,t2,And,t2,<=,3813292,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35.268757,TRUE
ForAll,0,<=,t1,And,t1,<=,30195534,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2984.284766,Implies,ForAll,0,<=,t2,And,t2,<=,2664955,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.026155,TRUE
ForAll,0,<=,t1,And,t1,<=,28557979,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2986.953229,Implies,ForAll,0,<=,t2,And,t2,<=,3738085,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.735435,TRUE
ForAll,0,<=,t1,And,t1,<=,26919147,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2876.209796,Implies,ForAll,0,<=,t2,And,t2,<=,4646356,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.862656,TRUE
ForAll,0,<=,t1,And,t1,<=,30698155,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3085.542963,Implies,ForAll,0,<=,t2,And,t2,<=,2403190,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.207776,TRUE
ForAll,0,<=,t1,And,t1,<=,24639919,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2916.787259,Implies,ForAll,0,<=,t2,And,t2,<=,2863995,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,32.397035,TRUE
ForAll,0,<=,t1,And,t1,<=,35776355,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3084.680801,Implies,ForAll,0,<=,t2,And,t2,<=,2462531,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.877470,TRUE
ForAll,0,<=,t1,And,t1,<=,38210744,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2838.789616,Implies,ForAll,0,<=,t2,And,t2,<=,2703983,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35.277854,TRUE
ForAll,0,<=,t1,And,t1,<=,20187679,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3071.212135,Implies,ForAll,0,<=,t2,And,t2,<=,5523167,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,39.192326,TRUE
ForAll,0,<=,t1,And,t1,<=,23530760,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2888.054841,Implies,ForAll,0,<=,t2,And,t2,<=,4067665,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35.420453,TRUE
ForAll,0,<=,t1,And,t1,<=,21623116,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3076.797024,Implies,ForAll,0,<=,t2,And,t2,<=,3347000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35.640848,TRUE
ForAll,0,<=,t1,And,t1,<=,39100684,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3023.742599,Implies,ForAll,0,<=,t2,And,t2,<=,2700369,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.456288,TRUE
ForAll,0,<=,t1,And,t1,<=,24097468,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2889.437396,Implies,ForAll,0,<=,t2,And,t2,<=,2097716,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.864314,TRUE
ForAll,0,<=,t1,And,t1,<=,39112559,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3062.851626,Implies,ForAll,0,<=,t2,And,t2,<=,2440599,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.086997,TRUE
ForAll,0,<=,t1,And,t1,<=,39198047,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3146.715166,Implies,ForAll,0,<=,t2,And,t2,<=,2514884,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.169171,TRUE
ForAll,0,<=,t1,And,t1,<=,32055521,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3140.349202,Implies,ForAll,0,<=,t2,And,t2,<=,2043482,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.154003,TRUE
ForAll,0,<=,t1,And,t1,<=,34733832,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2991.437202,Implies,ForAll,0,<=,t2,And,t2,<=,4393608,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.500337,TRUE
ForAll,0,<=,t1,And,t1,<=,25194687,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2818.888976,Implies,ForAll,0,<=,t2,And,t2,<=,5934723,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35.488025,TRUE
ForAll,0,<=,t1,And,t1,<=,27516868,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3041.272621,Implies,ForAll,0,<=,t2,And,t2,<=,3408054,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,36.848211,TRUE
ForAll,0,<=,t1,And,t1,<=,22634289,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2965.267453,Implies,ForAll,0,<=,t2,And,t2,<=,2312759,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,30.239858,TRUE
ForAll,0,<=,t1,And,t1,<=,21585812,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2948.451277,Implies,ForAll,0,<=,t2,And,t2,<=,3797566,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.276169,TRUE
ForAll,0,<=,t1,And,t1,<=,20328967,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2859.468353,Implies,ForAll,0,<=,t2,And,t2,<=,2055523,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.078746,TRUE
ForAll,0,<=,t1,And,t1,<=,35365148,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3115.172278,Implies,ForAll,0,<=,t2,And,t2,<=,2318333,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.918606,TRUE
ForAll,0,<=,t1,And,t1,<=,25273900,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3152.279504,Implies,ForAll,0,<=,t2,And,t2,<=,3654318,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.661993,TRUE
ForAll,0,<=,t1,And,t1,<=,28330043,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2945.353311,Implies,ForAll,0,<=,t2,And,t2,<=,2472328,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,32.312982,TRUE
ForAll,0,<=,t1,And,t1,<=,32052327,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2894.720268,Implies,ForAll,0,<=,t2,And,t2,<=,4787830,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.600218,TRUE
ForAll,0,<=,t1,And,t1,<=,23475820,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3044.971174,Implies,ForAll,0,<=,t2,And,t2,<=,2531012,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35.497210,TRUE
ForAll,0,<=,t1,And,t1,<=,26663794,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2828.305733,Implies,ForAll,0,<=,t2,And,t2,<=,5774867,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.289315,TRUE
ForAll,0,<=,t1,And,t1,<=,33743981,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2900.789169,Implies,ForAll,0,<=,t2,And,t2,<=,5955775,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,31.353188,TRUE
ForAll,0,<=,t1,And,t1,<=,31852036,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2816.976585,Implies,ForAll,0,<=,t2,And,t2,<=,5242799,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.441048,TRUE
ForAll,0,<=,t1,And,t1,<=,28714527,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2920.850790,Implies,ForAll,0,<=,t2,And,t2,<=,4593172,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.924230,TRUE
ForAll,0,<=,t1,And,t1,<=,36658024,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2903.137557,Implies,ForAll,0,<=,t2,And,t2,<=,5576321,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,39.099889,TRUE
ForAll,0,<=,t1,And,t1,<=,21176250,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2892.949594,Implies,ForAll,0,<=,t2,And,t2,<=,5114951,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.592829,TRUE
ForAll,0,<=,t1,And,t1,<=,31123670,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3139.854956,Implies,ForAll,0,<=,t2,And,t2,<=,4534233,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,39.802547,TRUE
ForAll,0,<=,t1,And,t1,<=,24763491,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2848.599355,Implies,ForAll,0,<=,t2,And,t2,<=,5137496,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,36.385204,TRUE
ForAll,0,<=,t1,And,t1,<=,20087684,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2878.875509,Implies,ForAll,0,<=,t2,And,t2,<=,5868717,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,31.418551,TRUE
ForAll,0,<=,t1,And,t1,<=,23380610,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3170.310369,Implies,ForAll,0,<=,t2,And,t2,<=,2149531,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,39.969403,TRUE
ForAll,0,<=,t1,And,t1,<=,22537371,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2890.406912,Implies,ForAll,0,<=,t2,And,t2,<=,2248310,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,33.574534,TRUE
ForAll,0,<=,t1,And,t1,<=,20144851,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2881.173429,Implies,ForAll,0,<=,t2,And,t2,<=,5601851,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.590462,TRUE
ForAll,0,<=,t1,And,t1,<=,38702052,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3173.053324,Implies,ForAll,0,<=,t2,And,t2,<=,4677979,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,39.324903,TRUE
ForAll,0,<=,t1,And,t1,<=,32867703,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2931.575052,Implies,ForAll,0,<=,t2,And,t2,<=,2484821,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.575649,TRUE
ForAll,0,<=,t1,And,t1,<=,20807813,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3095.417972,Implies,ForAll,0,<=,t2,And,t2,<=,2374874,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,30.279559,TRUE
ForAll,0,<=,t1,And,t1,<=,36186478,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2981.103399,Implies,ForAll,0,<=,t2,And,t2,<=,2554096,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.689682,TRUE
ForAll,0,<=,t1,And,t1,<=,32612341,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3171.551636,Implies,ForAll,0,<=,t2,And,t2,<=,3286811,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.242660,TRUE
ForAll,0,<=,t1,And,t1,<=,23147900,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2819.030006,Implies,ForAll,0,<=,t2,And,t2,<=,4590122,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,31.897932,TRUE
ForAll,0,<=,t1,And,t1,<=,31605668,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3177.708913,Implies,ForAll,0,<=,t2,And,t2,<=,2337475,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.274177,TRUE
