requirement,config,ok,notes
AT1,exp1.json,YES,
AT1,exp2.json,YES,
AT1,exp3.json,YES,
AT2,exp1.json,YES,
AT2,exp2.json,YES,
AT2,exp3.json,YES,
AT51,exp1.json,YES,
AT51,exp2.json,YES,
AT51,exp3.json,YES,
AT52,exp1.json,YES,
AT52,exp2.json,YES,
AT52,exp3.json,YES,
AT53,exp1.json,YES,
AT53,exp2.json,YES,
AT53,exp3.json,YES,
AT54,exp1.json,YES,
AT54,exp2.json,YES,
AT54,exp3.json,YES,
AT6A,exp1.json,YES,
AT6A,exp2.json,YES,
AT6A,exp3.json,YES,
AT6ABC,exp1.json,YES,
AT6ABC,exp2.json,YES,
AT6ABC,exp3.json,YES,
AT6B,exp1.json,YES,
AT6B,exp2.json,YES,
AT6B,exp3.json,YES,
AT6C,exp1.json,YES,
AT6C,exp2.json,YES,
AT6C,exp3.json,YES,
CC1,exp1.json,YES,
CC1,exp3.json,YES,
CC2,exp1.json,YES,
CC2,exp3.json,YES,
CC3,exp1.json,YES,
CC3,exp3.json,YES,
CC4,exp1.json,YES,
CC4,exp3.json,YES,
CC5,exp1.json,YES,
CC5,exp3.json,YES,
CCX,exp1.json,YES,
CCX,exp3.json,YES,
